# l [Ang]  V [Ang^3] E [Hartree]  From BANDS developers
#2.9084362570279616 17.39657093 -0.2860758868439262
#2.976870051308891 18.65368475 -0.29273930870195736
#3.045303845438692 19.9699462 -0.2975547403857762
#3.113737639646126 21.346715 -0.3009525793371392
3.1821714341218565 22.78535087 -0.30328428360938203
3.2506052285782276 24.28721352 -0.3047669516797592
3.3190390227731736 25.85366266 -0.30556018329602147
3.3874728169142614 27.48605801 -0.30585318676989914
3.4559066111777317 29.18575929 -0.305706178811003
3.5243404057129575 30.95412622 -0.30515951275107256
3.592774199915828 32.7925185 -0.30431697823985643
#3.661207994325618 34.70229586 -0.30326084599212294
#3.7296417883878386 36.684818 -0.30200245317475743
#3.7980755826067676 38.74144465 -0.3005856138034723
#3.8665093771018944 40.87353553 -0.2990326078917766
#3.934943171366759 43.08245034 -0.2973317932533843

# l [Ang]  V [Ang^3] E [Hartree]  From BANDS developers
#3.3518397121613566 26.6277658 -0.3064235532047652
#3.3754449949652687 27.19431401 -0.3064943643773948
#3.3987246616664635 27.76086222 -0.30652330961605123
#3.421689714171769 28.32741043 -0.3065264546233188
#3.444350571409185 28.89395864 -0.30645903982334255
#3.466717110977731 29.46050685 -0.3063497932662657
#3.4887987070824082 30.02705506 -0.306183739969482

# 02.03.2023
#3.3516660507  26.62362731706499       -34718.5181801
#3.3752701104  27.190087472747198      -34718.5182920
#3.3985485709  27.756547628429445      -34718.5183470
#3.4215124336  28.323007784111667      -34718.5183512
#3.4441721167  28.889467939793903      -34718.5183096
#3.4665374973  29.455928095476143      -34718.5182275
#3.4886179493  30.022388251158386      -34718.5181071

# Fm non magnetic
#3.35167977  26.62395429713353   -34718.5148687
#3.37528393  27.190421409838496  -34718.5149826
#3.39856248  27.75688852254348   -34718.5150380
#3.42152644  28.323355635248426  -34718.5150430
#3.44418622  28.88982274795342   -34718.5150002
#3.46655169  29.45628986065837   -34718.5149156
#3.48863223  30.02275697336335   -34718.5147906

# 27-07-2023  Fm non magnetic from BAND developer perfect EOS 
#    V [A^3/n_atoms],              E [eV]
         18.73448742          -7.97538679
         20.08828198          -8.10628971
         21.50577303          -8.19784415
         22.98842487          -8.25984710
         24.53770177          -8.29779417
         26.15506803          -8.31725445
         27.84198794          -8.32276711
         29.59992577          -8.31607058
         31.43034582          -8.29852087
         33.33471238          -8.27312404
         35.31448973          -8.24196183
         37.37114216          -8.20506943
         39.50613395          -8.16447086
         41.72092940          -8.11961221
         44.01699280          -8.07077727
         46.39578842          -8.01951316
