# Md non magnetic
3.5699494684  32.17149239715309  -35637.2084455
3.5950907859  32.85599223539036  -35637.2085433 
3.6198852990  33.540492073627675 -35637.2087079 
3.6443447254  34.22499191186496  -35637.2087352 
3.6684801620  34.909491750102276 -35637.2087116 
3.6923021293  35.593991588339556 -35637.2086430 
3.7158206113  36.27849142657686  -35637.2085556

NEW RESUTS 16.03.2023
3.5691327148   32.14941631115964    -35637.2084401
3.5942682803   32.83344644543962    -35637.2085393
3.6190571208   33.51747657971964    -35637.2087028
3.6435109512   34.201506713999606   -35637.2087356
3.6676408660   34.8855368482796     -35637.2087129
3.6914573832   35.5695669825596     -35637.2086579 
3.7149704845   36.25359711683959    -35637.2085592 
