5.145770    96.34654   -55681.1757694
5.182009    98.39646   -55681.1758379
5.217748   100.44638   -55681.1758775
5.253004   102.49632   -55681.1758909
5.287793   104.54622   -55681.1758805
5.322130   106.59613   -55681.1758492
5.356030   108.64607   -55681.1757981

#31 07 2023 from BAND developer perfect EOS
#    V [A^3/n_atoms],              E [eV]
         62.21454725          -0.37231602
         66.71030492          -0.45158333
         71.41758951          -0.51256170
         76.34126373          -0.55867346
         81.48619024          -0.59266279
         86.85723175          -0.61577434
         92.45925094          -0.62935554
         98.29711049          -0.63514061
        104.37567311          -0.63456873
        110.69980146          -0.62881939
        117.27435825          -0.61888881
        124.10420616          -0.60556868
        131.19420787          -0.58954793
        138.54922609          -0.57139418
        146.17412348          -0.55158972
        154.07376275          -0.53053870
