# 92 Uranium non magnetic
3.0514132705   20.090377374038940   -27972.6018522
3.0729028044   20.517832211784437   -27972.6022930
3.0940959072   20.945287049529950   -27972.6025594
3.1150025948   21.372741887275460   -27972.6026199
3.1356323523   21.800196725020980   -27972.6024926
3.1559941719   22.227651562766486   -27972.6021922
3.1760965876   22.655106400511993   -27972.6017213 

# 26-07-2023 Pier developer version
#    V [A^3/n_atoms],              E [eV],        OK,      #bas,   #basmin,   #basmax
         13.21603886          -5.49822708       True         53         53         53
         14.17105839          -6.40095314       True         53         53         53
         15.17101192          -7.09647440       True         53         53         53
         16.21693241          -7.61433427       True         53         53         53
         17.30985283          -7.98733493       True         53         53         53
         18.45080613          -8.24066693       True         53         53         53
         19.64082529          -8.39687076       True         53         53         53
         20.88094327          -8.47327457       True         53         53         53
         22.17219304          -8.48485041       True         53         53         53
         23.51560756          -8.44414551       True         53         53         53
         24.91221980          -8.35983268       True         53         53         53
         26.36306272          -8.23994191       True         53         53         53
         27.86916929          -8.09155251       True         53         53         53
         29.43157247          -7.92090892       True         53         53         53
         31.05130523          -7.73255641       True         53         53         53
         32.72940053          -7.53059858       True         53         53         53
