# 93 Np non magnetic
2.8968420451   17.189349822661790   -28760.2030069
2.9172430133   17.555080669952456   -28760.2032558
2.9373625664   17.920811517243140   -28760.2033885
2.9572102129   18.286542364533820   -28760.2033903
2.9767949572   18.652273211824504   -28760.2032567
2.9961253362   19.018004059115167   -28760.2029565
3.0152094516   19.383734906405840   -28760.2025638

# 26-07-2023 Pier developer version
#    V [A^3/n_atoms],              E [eV],        OK,      #bas,   #basmin,   #basmax
         13.01546161          -6.68477456       True         53         52         52
         13.95598701          -7.38619175       True         53         53         53
         14.94076444          -7.89217887       True         53         53         53
         15.97081120          -8.23733242       True         53         53         53
         17.04714457          -8.45408303       True         53         53         53
         18.17078185          -8.56836201       True         53         53         53
         19.34274032          -8.60248422       True         53         53         53
         20.56403727          -8.57409700       True         53         53         53
         21.83568999          -8.49628767       True         53         53         53
         23.15871577          -8.37969901       True         53         53         53
         24.53413190          -8.23256464       True         53         53         53
         25.96295566          -8.06183995       True         53         53         53
         27.44620434          -7.87332026       True         53         53         53
         28.98489523          -7.67177711       True         53         53         53
         30.58004562          -7.46084495       True         53         53         53
         32.23267280          -7.24324772       True         53         53         53 
