#    V [A^3/n_atoms]               E [eV]         OK
         11.02709534          -5.26432922       True
         11.82393708          -6.21285773       True
         12.65827050          -6.89669887       True
         13.53095748          -7.37971619       True
         14.44285988          -7.71045174       True
         15.39483959          -7.92264366       True
         16.38775849          -8.04885566       True
         17.42247845          -8.10832730       True
         18.49986135          -8.11947108       True
         19.62076907          -8.09565771       True
         20.78606349          -8.04573244       True
         21.99660648          -7.97707720       True
         23.25325992          -7.89493294       True
         24.55688569          -7.80247481       True
         25.90834566          -7.70286933       True
         27.30850172          -7.59812428       True
