#    V [A^3/n_atoms]               E [eV]         OK
         17.39657093          -7.78452077       True
         18.65368475          -7.96584170       True
         19.96994620          -8.09687626       True
         21.34671500          -8.18933616       True
         22.78535087          -8.25278506       True
         24.28721352          -8.29313051       True
         25.85366266          -8.31471544       True
         27.48605801          -8.32268847       True
         29.18575929          -8.31868818       True
         30.95412622          -8.30381264       True
         32.79251850          -8.28088611       True
         34.70229586          -8.25214729       True
         36.68481800          -8.21790468       True
         38.74144465          -8.17935052       True
         40.87353553          -8.13709108       True
         43.08245034          -8.09080956       True
