#    V [A^3/n_atoms]               E [eV]         OK
         21.01987013          -8.30708123       True
         22.53881138          -8.44699874       True
         24.12921934          -8.55247240       True
         25.79273691          -8.63048276       True
         27.53100701          -8.68620893       True
         29.34567255          -8.72206003       True
         31.23837644          -8.74211033       True
         33.21076160          -8.74964617       True
         35.26447094          -8.74698869       True
         37.40114737          -8.73639781       True
         39.62243380          -8.71864174       True
         41.92997316          -8.69458272       True
         44.32540834          -8.66516298       True
         46.81038226          -8.63118843       True
         49.38653784          -8.59299648       True
         52.05551799          -8.55143183       True
