#    V [A^3/n_atoms]               E [eV]         OK
         11.02709534          -5.51508610       True
         11.82393708          -6.56281184       True
         12.65827050          -7.37841580       True
         13.53095748          -8.03552203       True
         14.44285988          -8.58876952       True
         15.39483959          -9.05404809       True
         16.38775849          -9.43720225       True
         17.42247845          -9.74671101       True
         18.49986135          -9.99174731       True
         19.62076907         -10.18014278       True
         20.78606349         -10.32036865       True
         21.99660648         -10.41941071       True
         23.25325992         -10.48446139       True
         24.55688569         -10.52180424       True
         25.90834566         -10.53618302       True
         27.30850172         -10.53184341       True
