#    V [A^3/n_atoms]               E [eV]         OK
         17.39657093          -7.85369201       True
         18.65368475          -8.06812696       True
         19.96994620          -8.23035885       True
         21.34671500          -8.35403040       True
         22.78535087          -8.44598840       True
         24.28721352          -8.51522027       True
         25.85366266          -8.56955171       True
         27.48605801          -8.57301961       True
         29.18575929          -8.58808076       True
         30.95412622          -8.58983057       True
         32.79251850          -8.58089763       True
         34.70229586          -8.56371948       True
         36.68481800          -8.53968246       True
         38.74144465          -8.50953737       True
         40.87353553          -8.47350713       True
         43.08245034          -8.43222858       True
