#    V [A^3/n_atoms]               E [eV]         OK
         21.01987013          -8.30708123       True
         22.53881138          -8.44699872       True
         24.12921934          -8.55313062       True
         25.79273691          -8.63292235       True
         27.53100701          -8.69068190       True
         29.34567255          -8.72975988       True
         31.23837644          -8.75279070       True
         33.21076160          -8.76351960       True
         35.26447094          -8.76384333       True
         37.40114737          -8.75633069       True
         39.62243380          -8.74181817       True
         41.92997316          -8.72078983       True
         44.32540834          -8.68292277      False
         46.81038226          -8.65022412       True
         49.38653784          -8.61784377       True
         52.05551799          -8.57927963       True
